1	41 58 
2	57 69 
3	24 78 
4	28 61 
5	15 74 
6	32 36 
7	46 62 
8	11 49 
9	19 42 
10	58 61 
11	44 59 
12	7 50 
13	28 72 
14	7 30 
15	9 77 
16	4 71 
17	17 76 
18	41 72 
19	3 74 
20	30 58 
21	34 70 
22	31 70 
23	20 77 
24	19 25 
25	1 49 
26	14 49 
27	58 78 
28	46 76 
29	20 24 
30	4 5 
31	35 77 
32	16 42 
33	64 73 
34	7 49 
35	7 38 
36	1 48 
37	21 75 
38	17 38 
39	30 41 
40	25 74 
41	2 11 
42	31 77 
43	30 78 
44	40 70 
45	58 63 
46	16 63 
47	42 71 
48	51 53 
49	10 16 
50	62 75 
51	30 69 
52	52 75 
53	15 55 
54	26 34 
55	31 45 
56	13 57 
57	37 74 
58	38 53 
59	7 74 
60	77 78 
61	38 48 
62	16 42 
63	19 71 
64	20 38 
65	57 71 
66	21 39 
67	36 76 
68	8 39 
69	18 31 
70	30 61 
71	51 76 
72	34 35 
73	4 42 
74	28 45 
75	50 53 
76	24 44 
77	25 29 
78	34 67 
79	1 39 
80	9 44 
81	3 25 
82	2 34 
83	35 48 
84	14 39 
85	49 78 
86	2 51 
87	33 48 
88	1 71 
89	66 71 
90	61 74 
91	57 71 
92	27 33 
93	8 62 
94	15 61 
95	20 41 
96	35 38 
97	15 46 
98	74 77 
99	20 27 
100	25 69 
101	12 76 
102	41 49 
103	12 30 
104	24 63 
105	40 69 
106	13 66 
107	48 70 
108	1 48 
109	4 25 
110	42 46 
111	22 46 
112	20 77 
113	17 78 
114	3 35 
115	9 25 
116	71 76 
117	13 54 
118	19 57 
119	74 76 
120	31 53 
121	31 56 
122	4 37 
123	48 68 
124	22 51 
125	24 70 
126	30 44 
127	19 56 
128	47 55 
129	3 68 
130	3 35 
131	17 32 
132	38 40 
133	52 56 
134	4 7 
135	32 44 
136	9 55 
137	20 38 
138	48 59 
139	54 55 
140	19 30 
141	27 38 
142	3 60 
143	24 31 
144	24 44 
145	19 61 
146	35 48 
147	20 44 
148	7 48 
149	18 58 
150	34 74 
151	4 36 
152	19 51 
153	17 48 
154	34 54 
155	57 62 
156	21 78 
157	47 70 
158	50 76 
159	7 15 
160	15 18 
161	41 44 
162	9 57 
163	16 23 
164	35 57 
165	4 71 
166	42 62 
167	4 17 
